date,est_jour_ferie,nom_jour_ferie
2013-07-14,True,Fête Nationale
2013-08-15,True,Assomption
2013-11-01,True,Toussaint
2013-11-11,True,Armistice
2013-12-25,True,Noël
2013-12-26,True,Saint Étienne
2014-01-01,True,Jour de l'an
2014-04-18,True,Vendredi Saint
2014-04-21,True,Lundi de Pâques
2014-05-01,True,Fête du travail
2014-05-08,True,Victoire des alliés
2014-05-29,True,Ascension
2014-06-09,True,Lundi de Pentecôte
2014-07-14,True,Fête Nationale
2014-08-15,True,Assomption
2014-11-01,True,Toussaint
2014-11-11,True,Armistice
2014-12-25,True,Noël
2014-12-26,True,Saint Étienne
2015-01-01,True,Jour de l'an
2015-04-03,True,Vendredi Saint
2015-04-06,True,Lundi de Pâques
2015-05-01,True,Fête du travail
